Symbol,Interval,ARIMA_RMSE,ARIMA_MAE,LSTM_RMSE,LSTM_MAE,LightGBM_RMSE,LightGBM_MAE,XGBoost_RMSE,XGBoost_MAE,RandomForest_RMSE,RandomForest_MAE
THETA-USD,Weekly,0.7424945777115168,0.6652830455459198,0.3503515252082673,0.1996061538086563,0.14525427864568966,0.10817846326671643,0.1296540262382253,0.0865017038489145,0.1262523362806498,0.08815834317415482
THETA-USD,Monthly,0.8302108868129496,0.7637028333612069,0.5079576979845439,0.33433524461892933,0.9757492542705687,0.6667859637426152,0.41421990422081834,0.24218182961146037,0.4250292790064599,0.2524653306752443
THETA-USD,Quarterly,1.78639782403307,1.5818115757061808,0.637409907957629,0.5303618490695954,1.7470551041200406,1.6210039917575685,0.7419881470569478,0.5385724365711212,0.6630353011626634,0.576105539187789
USDC-USD,Weekly,0.0005041143371162846,0.0004873075081172162,0.000155587391068605,0.00012652502685297094,0.0001850027372067172,0.00015560750818625086,0.00012426370091069548,9.80278802296472e-05,0.00012069973791936268,9.470984103187436e-05
USDC-USD,Monthly,0.0021895912861585416,0.0020701846358191093,0.00011707445199264746,0.00010158465458799136,0.0007326183719071706,0.000572024774330678,9.445040731813001e-05,7.004340489705404e-05,0.0001041404002426415,8.238160610200367e-05
USDC-USD,Quarterly,0.00018196220193872318,0.00015718846798578044,7.73262430310177e-05,6.67095184326838e-05,0.00014391341439120794,0.0001208757099353086,0.00012845698444759255,0.00010204315185546875,0.00011676647276053543,8.718991279603739e-05
LINK-USD,Weekly,6.712704173093711,5.1565257205466315,2.794084426008404,2.0728817924124296,1.4687243717981795,1.0269855609031084,1.2866620762125898,0.9627697808401925,1.431605364619924,1.0741609727768668
LINK-USD,Monthly,5.629713045035897,4.1827258357177275,4.295009830582602,3.716322972224309,3.184398233299473,2.6981379592603774,2.8624540474465245,2.3072694142659507,2.7877056285533954,2.1515521424611412
LINK-USD,Quarterly,7.361305904469733,6.469219126602113,4.107073852032462,3.9195764541625975,5.204182885389405,3.8793952515250765,2.269480428682385,2.148464393615723,2.6736065492650893,2.274130229949951
ATOM-USD,Weekly,1.5583537490428696,1.1241948788143896,1.0940219197626377,0.7428041207985799,0.45342395272959757,0.347432447274341,0.36378268928595653,0.2772631039695134,0.37992425133020563,0.2705861645274692
ATOM-USD,Monthly,1.5941656651682177,1.313647736427793,1.0553795590052388,0.7388254312368538,1.7656717196085654,1.4227024787186697,0.9609253319994148,0.6251861572265625,0.8147079707329347,0.602435727596283
ATOM-USD,Quarterly,1.953768948403139,1.8242453494857727,1.2160439833803078,0.849062728881836,8.385595017358133,8.289040929392764,2.1781318597071624,1.724020290374756,2.047531254965329,1.6181686215400695
DOT-USD,Weekly,2.0668246304497795,1.8188648862468066,1.4180444363458957,1.176581585848773,0.7581574402526553,0.5654547456910349,0.7241443752095503,0.5125497920172555,0.6621466412160184,0.4615832644701004
DOT-USD,Monthly,4.486634679450359,4.399616933370047,1.0245077628018553,0.7614219188690186,2.6735743296589436,2.3017317041981764,2.10732132669724,1.8992781455700214,1.1845143590127662,1.0308253068190356
DOT-USD,Quarterly,1.7044892130681253,1.49170502597081,0.7548496643879818,0.6187765598297119,8.214206785413275,8.078587907903334,2.8942676079359364,2.391348648071289,2.2950460498073983,1.8969299573898315
AVAX-USD,Weekly,19.073278206742348,17.831373376853584,5.134630876596283,3.8089560579370567,2.263125553491989,1.5612827776491731,2.147659013323114,1.4505478598854757,1.914338698788729,1.3907266457297582
AVAX-USD,Monthly,25.627573069299384,24.777200199110414,5.508524003846696,4.062035957972209,8.2736617018729,7.4245180755839755,5.601164884860052,3.9187970528235803,5.358549802221219,3.579247000034039
AVAX-USD,Quarterly,13.47058829438836,11.744753047735013,6.500036513559514,5.440414190292358,12.63500346176062,10.721196609384872,5.517525215825532,3.395802116394043,5.2284817216665465,4.294918855667114
USDT-USD,Weekly,0.0006588559743603837,0.000509164242405691,0.0005244703090148389,0.00037291401722391914,0.0003480422147327109,0.0002542588675701834,0.0004098783354875892,0.0002890513056800479,0.0003807798766128438,0.0002858682189668909
USDT-USD,Monthly,0.0007349107434901923,0.000633350161475114,0.0005345944416251992,0.00034774266756497043,0.0007309873019098181,0.0005144810045445425,0.0006635482436265655,0.00046192010243733725,0.0007188547228783285,0.0005332327286402538
USDT-USD,Quarterly,0.0005930049353675942,0.00036272787515956306,0.0007556690964179389,0.000547778606414795,0.0009416862001008387,0.0005417083439073877,0.0007979152996361028,0.0004730701446533203,0.000651485476208776,0.00047151947021484286
DAI-USD,Weekly,0.0009474410123039269,0.000922841807196128,0.00015113873517378455,0.00012165210286124808,0.00015928174545418674,0.00010912250037045348,0.00012546570097172525,0.00010080564589727492,0.00013085576563315446,0.00010141287531171907
DAI-USD,Monthly,0.0019665218541531923,0.001939575676184931,0.00019440603757512134,0.00016552668351392625,0.000323899725580568,0.0003013285047858805,0.00011562004561509323,9.269316991170248e-05,0.00014179724449715314,0.0001146329641342092
DAI-USD,Quarterly,0.00011077231045161544,9.640442445149055e-05,9.899538411455461e-05,9.135007858276367e-05,0.0017719368511381125,0.0017695226167376622,0.00043259903251857505,0.00041208267211914065,0.0001309026252511557,0.00010898363590241544
MANA-USD,Weekly,0.1228414619001102,0.08815506627259573,0.09732657206108475,0.06895695455738755,0.04121259274694737,0.0335991238803956,0.024577929948969447,0.0194013203893389,0.032603787936406406,0.023847932088233176
MANA-USD,Monthly,0.12430572560867721,0.09861058344650771,0.08734702966700114,0.06931390899878281,0.15029772362029375,0.08696518552516376,0.07929370491416585,0.0676651805639267,0.07571547329239144,0.06587468656897545
MANA-USD,Quarterly,0.15296481476751847,0.13819528229829134,0.10318170715704843,0.07847235202789307,0.4367771167419508,0.4243169450446179,0.1021104686780654,0.09277657866477966,0.145768233587774,0.13918535064160822
MNT-USD,Weekly,0.04404513401099457,0.033721273440328665,0.030828037654789264,0.028132412893076737,0.022516729306473898,0.01858412734377707,0.020433334998803888,0.014877632526414735,0.020313680623152405,0.016706574013722792
MNT-USD,Monthly,,,0.030060423111943544,0.027385982374350224,0.2739790841395626,0.27275266054158026,0.017041460485853102,0.013393813744187355,0.036544956352920155,0.03427136504091322
MNT-USD,Quarterly,,,0.03607785533232503,0.036064311861991875,0.6633391517898773,0.6623580195009708,0.07818604490386234,0.06734222546219826,0.25038204906635286,0.25015348181128505
SUI-USD,Weekly,0.002759073553470017,0.00264222079030794,0.0008073062423670621,0.0005884899988318052,0.003465120104509586,0.0032094370878031618,0.0029144780627936477,0.0026601558573323323,0.002405005422855451,0.002152713343560511
SUI-USD,Monthly,0.006222224223362598,0.006191816736385732,0.0002854883402936419,0.00022706170129822568,0.005346127687584805,0.005339893947111153,0.004550463739621142,0.00423661994500435,0.004249555559120206,0.003951909989361108
SUI-USD,Quarterly,,,2.4348390644147216e-05,2.015875361394137e-05,0.0051147618047148406,0.005114749976200983,0.006499237596657569,0.006089042901294306,0.006314386535599735,0.005998389940941706
LEO-USD,Weekly,3.3427113897432172,3.182236839835834,0.698680124306175,0.4983827012484191,3.2773007486533055,3.1144618032585245,3.2980677905234925,3.1368354842776345,3.2557842881161707,3.0927861518708486
LEO-USD,Monthly,3.084735473055534,2.964383370105169,1.0235641746402198,0.7917005465580866,3.740331057842541,3.6380292285574134,3.4165684781480885,3.304493459065755,3.5453842807562306,3.4346236969629924
LEO-USD,Quarterly,3.9991559678610296,3.9150491790896256,2.697318959342922,2.6411391258239747,5.65741691071364,5.65341337981977,3.425032749324613,3.4116634368896483,3.5816350896776603,3.572454566955566
